Tina Leblanc
Dott. Tina Corradi 
Dott. Michela Torricelli 
Gionata Tuzzolino
Dott. Lucio Cutrufo
Lolita Turchetta
Lina Endrizzi
Gioachino Cutrufo-Cutuli
Sig.ra Giuliana Maccanelli 
Luigi Cianciolo 
Tonia Porzio
Marcantonio Pincherle
Milena Caironi
Emma Staglieno
Dott. Ezio Brunello 
Salvatore Chindamo
Gianna Battisti
Mirco Trombetta
Ubaldo Bertolucci
Dott. Panfilo Antelami
Giovanni Medici-Pacelli
Ricciotti Procacci
Dott. Mirko Sanguineti 
Liliana Pederiva-Micca
Domenico Duse-Moschino
Alessio Legnante
Sig.ra Ilaria Cafarchia
Orazio Stefanelli
Eliana Gadda 
Alfio Zamorani-Salgari
Annalisa Guinizzelli
Adriana Caccioppoli
Maurilio Campano-Caracciolo
Germana Viola
Mercedes Pagnotto
Gianpaolo Pisani 
Giampiero Capuana
Fabia Carfagna 
Mercedes Mercati
Atenulf Corradi 
Sandra Paolucci
Benedetto Pininfarina-Sismondi
Sig.ra Fernanda Petrassi
Renata Segni-Malipiero
Angelina Bruno 
Dott. Romolo Gianetti
Daniele Gianetti 
Imelda Muratori
Lodovico Finzi 
Dott. Ilaria Bignami 
Gioacchino Bongiorno-Accardo
Valerio Iannuzzi 
Teresa Goldoni 
Baldassare Bertolucci 
Giulia Pennetta
Giosuè Filippini
Benito Acerbi
Carla Fo
Loredana Deledda-Verri
Gionata Collina 
Hugo Toso
Sig.ra Marisa Murialdo
Alessandra Palumbo-Bellocchio
Amleto Nicoletti-Trebbi
Mirco Andreotti
Adriana Tozzo 
Gioffre Marconi
Adriana Botticelli
Cesare Gianetti
Temistocle Praga-Malaparte
Antonella Collina
Dott. Federigo Moneta
Sig.ra Marisa Santorio
Antonietta Brunello
Sig.ra Liana Miniati 
Roman Opizzi
Renata Morellato
Goffredo Montessori-Finzi
Pierangelo Iannelli
Dott. Luigina Pulci 
Eva Satriani-Garzoni
Mercedes Rossellini 
Ciro Palazzo
Arnaldo Badoglio
Atenulf Guidone
Gastone Regge
Laureano Aldobrandi
Ruggiero Salata-Fiorucci
Roman Conti
Ronaldo Piccinni
Alberto Lussu
Lilla Morricone-Casaleggio
Sig.ra Milena Carpaccio 
Rolando Orlando
Federigo Proietti
Hugo Abbagnale
Dott. Ermes Virgilio 
Gianmarco Anguissola
Sig.ra Eliana Civaschi
Ninetta Cilibrasi
Dott. Gabriele Costanzi 
Dott. Bartolomeo Gramsci
Ferdinando Bertolucci 
Lilla Avogadro
Sole Sagnelli
Cristina Tiepolo 
Angelina Faggiani-Finetti
Rosalia Barracco
Domenico Maderno-Comolli
Massimo Comisso
Giuliana Tartaglia 
Fausto Vezzali 
Dott. Amalia Volterra
Ninetta Spadafora
Sylvia Biagi 
Ramona Saraceno-Asprucci
Milena Asprucci
Temistocle Leoncavallo
Ottavio Guariento 
Sig. Donato Dovara 
Luigi Pugliese
Temistocle Orlando-Errani
Dott. Antonietta Ruffini 
Achille Volta 
Claudio Marangoni
Renata Balbi
Aurora Balbi 
Melina Mogherini
Patrizio Baroffio
Lidia Liverotti
Dott. Massimo Caironi
Dott. Giorgio Micheletti 
Lorenzo Branciforte-Cocci
Clelia Frescobaldi 
Daria Petrucci 
Sig.ra Raffaella Polesel 
Berenice Bernetti
Sig. Azeglio Sollima 
Susanna Scaramucci-Campise
Barbara Gradenigo 
Simonetta Turrini 
Calcedonio Perini 
Michelangelo Milanesi 
Girolamo Antonetti
Lucrezia Pezzali
Letizia Cavanna
Pierpaolo Mazzini
Sonia Rossetti
Ranieri Cheda-Morucci
Benvenuto Varano 
Dionigi Raurica
Dott. Baccio Nicolini 
Benedetto Molesini 
Fabia Scalfaro
Sig.ra Antonietta Angiolello 
Rocco Binaghi-Giannuzzi
Rosario Argan
Annetta Gotti
Dott. Delfino Morpurgo
Dott. Jolanda Bassi
Paloma Visconti 
Sig. Adamo Vittadello
Sonia Iannotti
Coriolano Torlonia
Dott. Margherita Pacetti
Umberto Ariasso-Montessori
Loretta Tedesco
Nina Iacovelli
Michela Ottino-Mazzeo
Pellegrino Borromeo
Gaetano Gremese
Sig. Tullio Tremonti
Giulio Mogherini
Luigi Antonelli
Geronimo Corbo
Adriano Antonetti
Roberto Filippelli
Dott. Tullio Tuzzolino 
Sig. Dino Luria 
Mauro Buscetta 
Torquato Zanzi
Sig. Fulvio Zola
Leone Mimun
Sig. Piersanti Scialpi 
Angelina Medici-Gualtieri
Ornella Brunelleschi
Dott. Oreste Toscanini
Sophia Marangoni-Oscuro
Niccolò Pepe-Cuomo
Flavia Rizzoli
Gloria Salvemini
Agnolo Venditti
Mercedes Ceravolo
Fernanda Nibali
Sig.ra Fortunata Guinizzelli 
Sig.ra Loredana Nadi
Alina Bocca
Dott. Matteo Galeati
Piersanti Quasimodo-Panicucci
Carla Alfieri
Roberto Barozzi
Aurora Tasca
Silvia Vianello
Martino Desio
Isa Nosiglia
Nicolò Cutuli
Antonina Cilibrasi
Atenulf Baresi-Mozart
Mattia Fusani
Benito Pulci
Elladio Visintini 
Adele Vittadello 
Dott. Vincenzo Zamorani
Fabio Broschi 
Morena Salgari
Pierina Finetti
Cristina Lucchesi 
Sig.ra Maura Einaudi 
Sig.ra Giada Federici
Raffaello Viola
Sig. Arsenio Fallaci 
Tatiana Borsellino-Cibin
Gianni Pizzetti 
Fabia Agostinelli
Martina Mancini
Matilda Monduzzi
Evangelista Guarato
Letizia Lovato
Martina Rismondo
Dott. Emma Caccianemico 
Dario Caruso
Maria Strangio-Interminei
Natalia Scandone
Lucrezia Polesel
Eleanora Guarneri
Ornella Bocelli
Dott. Ernesto Nicoletti
Arnulfo Saragat-Giannelli
Vanessa Morosini-Cipolla
Fabia Tarchetti
Alessia Marangoni
Aldo Chittolini
Dott. Rosina Ioppi
Dario Scaduto 
Annetta Amato-Curatoli
Pomponio Cuda
Dott. Pierina Antelami 
Fulvio Donà-Russo
Rosaria Peruzzi 
Ciro Franscini
Paulina Scalfaro
Sig. Ignazio Canova
Dott. Alessia Panicucci
Alfio Mercantini
Silvio Balbo
Luisa Porzio
Dott. Liana Malenchini 
Loretta Veneziano
Tiziano Schicchi-Volta
Gianna Pistoletto 
Aria Almagià
Ivan Zacchia
Sig. Ansaldo Comeriato 
Benito Anichini-Badoglio
Sig.ra Greca Comisso 
Luisa Lanfranchi
Bruno Falloppio
Ubaldo Parini
Anita Rusticucci-Piane
Dino Goldoni
Dott. Uberto Ferragamo
Romolo Trombetta
Rocco Rosselli 
Giorgia Vespucci
Agnolo Bosio
Corrado Ferrazzi
Francesco Iannuzzi-Bartoli
Fiamma Luria-Cabrini
Dina Inzaghi 
Sig.ra Paulina Zamengo
Sig.ra Vincenza Nugnes 
Margherita Mascheroni
Serena Schiaparelli 
Sig. Ermanno Tosi
Livia Malenchini
Jolanda Gullotta
Arnaldo Fabbri 
Marcantonio Toscani-Viviani
Sylvia Corbo-Solimena
Rosaria Balla
Sig. Gionata Coppola
Vittoria Gasperi
Licia Granatelli
Marco Roncalli
Annibale Randazzo
Isabella Nitti
Concetta Zoppetti
Sig. Luca Malenchini 
Natalia Contarini
Luisa Cafarchia 
Bettina Papafava
Leone Marangoni-Zaccagnini
Lucia Golgi
Nino Giannetti
Coriolano Busoni
Venancio Pincherle
Sig. Livio Morrocco 
Sig. Mario Dellucci
Dott. Rosa Brugnaro 
Gianmarco Prati
Sig.ra Sonia Mattarella 
Bernardo Michelangeli
Bartolomeo Cavanna
Gabriele Pincherle
Giulia Ostinelli-Castellitto
Sig. Arnaldo Gaggini
Silvia Traetta
Manuel Bresciani
Dott. Bianca Palladio 
Camillo Anguissola
Matteo Tagliafierro
Giovanna Vattimo 
Rodolfo Bajamonti 
Pompeo Caccianemico 
Ornella Tanzini
Dott. Giulietta Vento
Dott. Filippa Tozzi
Sonia Tolentino
Giulia Pedersoli
Mercedes Angeli
Sig.ra Maria Tamburi 
Paloma Rocca-Majorana
Sig. Gilberto Iacovelli
Dott. Erika Borroni
Dott. Alessio Pacetti
Federico Odescalchi-Dellucci
Giustino Pontecorvo-Ziani
Jolanda Chiaramonte
Donna Bruno
Renata Ricciardi
Dott. Donna Alfonsi
Roberto Casalodi
Luciana Conti 
Dott. Silvestro Badoglio 
Michelotto Querini
Gemma Novaro
Silvio Giannelli
Sig. Sante Tafuri 
Sig.ra Ramona Cardano
Valeria Passalacqua
Manuel Lamborghini
Dott. Giampaolo Vismara 
Gioacchino Trentini
Victoria Gentili
Erika Grassi
Gianfrancesco Mussolini-Bertoli
Imelda Camiscione
Adamo Martinelli
Stella Argento
Toni Polesel
Serena Filogamo-Sauro
Lando Barbarigo 
Martino Trombetta 
Melania Chittolini-Giunti
Daniele Romiti
Concetta Ponti-Gualandi
Ugo Interiano
Beppe Ariosto
Fausto Corradi
Sig. Lazzaro Pinamonte
Elisa Petrucci
Erika Serraglio
Santino Trevisani-Martucci
Gianpaolo Alonzi
Griselda Depero
Lucio Ottino
Sig.ra Giada Novaro 
Dario Zanzi
Severino Comencini-Borromeo
Sergius Mascheroni 
Ansaldo Errigo
Tiziano Garozzo 
Sig.ra Michela Pavarotti
Lodovico Finotto
Ernesto Porzio
Sig. Pietro Sgalambro 
Sandro Federici
Leonardo Mercalli
Hugo Tropea 
Graziella Bramante
Nicoletta Niggli
Sig.ra Lauretta Vespucci
Liliana Paganini
Bettina Belletini-Giusti
Michelangelo Querini
Sig. Liberto Pedersoli 
Dott. Veronica Tacchini 
Gelsomina Totino
Natalia Zichichi
Dott. Graziella Asmundo
Renata Rossellini
Sig. Gianpaolo Boitani 
Dott. Nedda Padovano 
Enrico Ficino 
Dott. Rossana Trobbiani 
Enzio Botta
Germana Monduzzi
Dott. Roberto Gioberti
Dott. Arsenio Greggio
Agnolo Notarbartolo-Alfonsi
Sig. Ugo Bernardini
Fabio Monduzzi
Arturo Tagliafierro
Paloma Almagià-Sokolov
Liberto Roero
Damiano Bajamonti
Sig. Flavio Pagliaro
Gianpietro Scialpi-Meucci
Dott. Oreste Martinelli
Amico Faugno 
Sig. Marcantonio Valguarnera 
Sig.ra Bianca Cafarchia
Cipriano Rizzo
Pierpaolo Scialpi
Goffredo Alighieri
Daria Gianinazzi
Patrizio Orsini
Dott. Bartolomeo Bajamonti
Simonetta Broggini 
Antonia Antonelli
Priscilla Scamarcio 
Dott. Gioachino Celentano
Rosalia Vigorelli
Gianluigi Praga
Lazzaro Aldobrandi
Claudia Vecoli-Garobbio
Baccio Monaco
Alfredo Bignami
Griselda Modugno
Amleto Vecellio
Melina Raimondi 
Maurizio Riccardi-Zanzi
Bartolomeo Babato
Lisa Flaiano
Annalisa Ossola-Dossetti
Loretta Paolini 
Dott. Mattia Puglisi 
Benedetto Abba 
Giuseppina Gibilisco 
Giulia Antonelli-Ferrara
Francesca Balotelli
Dina Florio-Guicciardini
Sig.ra Caterina Galeati 
Puccio Armani
Sig.ra Sole Micheletti 
Dott. Milena Canali 
Gabriella Rapisardi
Sig. Roberto Guinizzelli
Dario Ferragamo
Giovanna Grossi
Licia Pignatti
Lara Beccheria
Dina Botticelli
Dott. Milena Zetticci 
Ottone Molesini-Fermi
Ugo Balbo
Luca Russo
Sig.ra Gelsomina Mazzeo
Patrizio Priuli
Martino Pucci
Dott. Salvi Casagrande 
Angelica Bianchi
Torquato Legnante
Sig.ra Paulina Marrone 
Viridiana Matteotti
Sante Pininfarina 
Sig.ra Adriana Sinisi
Atenulf Offredi
Dott. Giulietta Viviani
Ezio Anichini
Sig. Torquato Torricelli 
Annetta Badoer
Paoletta Papafava
Lara Turati
Temistocle Valier-Fischetti
Antonietta Cerquiglini 
Virginia Borzomì
Dott. Nanni Monduzzi
Rossana Cremonesi-Argentero
Nico Ajello
Mario Cilibrasi
Nanni Bonaventura
Sig.ra Sylvia Verdone
Antonia Dossi
Dott. Filippa Fornaciari
Dott. Tatiana Carosone
Sig.ra Maria Bertoni
Fausto Gritti 
Filippa Borgia
Romina Granatelli
Sophia Farina
Rosina Fracci
Sig.ra Donna Palmisano 
Pierpaolo Cafarchia
Sig. Sandro Nugnes 
Lilla Emo
Eugenia Muratori
Gianmarco Spallanzani-Lerner
Tatiana Benigni
Mariano Pizzo
Franco Falier 
Sig. Lorenzo Vasari
Dante Casadei
Lamberto Sagredo
Daniele Falloppio 
Isa Abbagnale-Simeoni
Serafina Dallapé
Sig. Ermanno Palladio 
Sig. Maurizio Iacovelli 
Dott. Ludovico Moccia 
Uberto Petralli
Dott. Ludovica Semitecolo 
Jolanda Pascarella 
Dott. Michelangelo Ponti
Serafina Donatoni 
Uberto Lamborghini
Annunziata Visintini
Luisa Chinnici 
Dionigi Corcos 
Dott. Sonia Soderini 
Sonia Paolini
Lodovico Modigliani 
Aurora Cagnotto
Telemaco Bonomo
Giacomo Tosto
Isa Maffei
Dott. Nadia Farinelli
Graziano Dossetti
Costanzo Bosurgi 
Carlo Petrucci
Camilla Querini-Vecellio
Sig. Baldassare Leopardi 
Fabrizia Naccari 
Elvira Lattuada
Serena Stoppani
Eugenia Montessori 
Rodolfo Palmisano
Luchino Cilea
Tiziano Comolli
Raffaele Trupiano
Sig. Tiziano Lombroso
Donatello Siffredi-Lollobrigida
Stefano Govoni 
Marina Castellitto
Elisa Lancisi-Longhena
Cipriano Busoni
Sig. Camillo Ferrante 
Annetta Rossi
Ricciotti Mantegazza
Bianca Nicolini-Serao
Coluccio Paolucci 
Daria Grisoni
Etta Druso-Avogadro
Dott. Lidia Pigafetta 
Sandro Cadorna-Casagrande
Dott. Ennio Falloppio 
Fortunata Nugnes
Martina Zacchia-Lombardi
Nina Rensi
Augusto Borsiere
Danilo Benigni
Imelda Balotelli
Loretta Foà
Stella Fallaci
Romana Bocelli-Fiorucci
Nicoletta Ferrabosco
Sig. Gino Caccioppoli 
Adriano Scarlatti 
Giacobbe Pasolini 
Dott. Venancio Martinelli 
Sig.ra Bianca Giammusso
Dott. Cesare Ruggeri 
Isabella Comolli-Zamengo
Dott. Amadeo Beccaria 
Loretta Soranzo
Sig.ra Amalia Anguissola 
Isabella Monte
Mattia Rosselli 
Milena Gremese
Sig. Romolo Cilibrasi 
Giustino Luria
Raffaella Innocenti 
Eraldo Tomaselli
Luca Moretti
Paolo Bellucci
Tatiana Porzio-Vidoni
Romana Monte 
Dott. Melina Tolentino
Fabio Caruso
Sig.ra Fiamma Rapisardi
Sig.ra Greca Agostini 
Adelasia Palumbo
Dott. Vincenzo Trussardi
Donatella Filippelli
Nicoletta Moccia 
Angelica Serlupi
Gioacchino Ficino 
Dott. Dolores Geraci
Elladio Canil-Bataglia
Amalia Tafuri
Dante Ricolfi 
Flavia Pigafetta
Sig.ra Angelina Cerutti
Nico Angiolello
Dionigi Pellegrini-Tognazzi
Ludovica Littizzetto
Pietro Cappelli 
Aurora Doria 
Federigo Pavanello
Amico Bevilacqua
Luigina Gianinazzi
Antonina Mercantini 
Alphons Foà 
Benito Comencini-Leonardi
Serena Salieri 
Melina Pizzo
Mattia Ferretti
Dott. Vincenzo Verri
Antonio Visconti
Dott. Cecilia Mercati 
Raffaella Tartini-Malpighi
Sig. Augusto Zacco
Sig. Gioffre Mercati
Antonietta Esposito 
Liberto Golino
Sig. Bartolomeo Lopresti 
Lilla Rubbia-Gori
Livio Cesarotti
Luciano Ughi 
Sergius Biagiotti 
Dott. Pellegrino Nicoletti
Graziano Tamburi 
Galasso Bettoni
Laureano Gaggini
Sig. Gianni Rosselli
Osvaldo Alfieri
Baldassare Gulotta 
Dott. Guglielmo Pezzali
Isabella Coppola
Galasso Iacobucci
Alderano Crisafulli
Allegra Mercati
Sig.ra Rita Eco
Zaira Varano
Sig.ra Giorgia Ramazzotti 
Sole Ferragni 
Giuseppina Sandi-Treccani
Loretta Pisano 
Piergiuseppe Olivetti
Sylvia Deledda
Sig.ra Adele Storladi
Fabio Vanvitelli
Dott. Gionata Baresi 
Nedda Fieramosca-Cibin
Ivo Battisti 
Sig. Claudio Comboni
Sig.ra Virginia Coardi 
Dott. Evangelista Ferretti
Baccio Condoleo 
Dott. Antonina Zito 
Fiamma Dalla
Daria Buonauro 
Sig.ra Greca Pacillo
Micheletto Udinese
Carlo Iadanza 
Giacomo Iadanza-Bondumier
Nicoletta Alfieri 
Puccio Nolcini
Gioele Corradi
Fortunata Scialpi
Dott. Tonino Greggio 
Veronica Zola-Romano
Gemma Udinese
Sig.ra Cristina Salandra
Donato Aulenti
Licia Trupiano-Parri
Gloria Montalcini 
Dott. Simone Ferraris 
Sig. Alberto Zamengo
Lara Carocci
Adele Casini-Coardi
Livia Badoglio
Fortunata Fittipaldi
Donna Roccabonella
Stefania Pirelli
Lucrezia Scarpetta
Dott. Chiara Folliero 
Lucia Rossellini-Bonolis
Sig. Sante Balbi
Simonetta Capone-Zanazzo
Stefania Tron
Ottone Saffi 
Nina Gigli
Gaspare Schiaparelli
Sig.ra Luigina Bassi 
Amico Einaudi 
Annibale Rienzo 
Vincentio Nolcini
Sig. Tonino Sagredo 
Emma Petrassi
Sig. Leopoldo Tomaselli 
Roberta Gemito-Falloppio
Angelina Morellato
Agnolo Babbo-Marzorati
Zaira Federici
Dott. Mirco Pirelli 
Sig.ra Adelasia Callegari
Melania Ferrante
Elladio Ariosto
Eleanora Mazzocchi
Carlo Notarbartolo
Camillo Zanazzo
Griselda Bertolucci
Sig.ra Isa Raurica
Viridiana Cugia
Ippazio Giammusso
Romina Anguissola 
Dina Donatoni-Trevisani
Bianca Ajello
Sig.ra Etta Favata 
Enzio Pozzecco
Ilaria Mondadori
Dott. Lodovico Bompiani 
Liliana Babato
Dott. Antonia Loredan 
Eleanora Gozzi-Dallapé
Dionigi Stoppani-Adinolfi
Enzio Navarria
Pasquale Parisi
Elvira Vasari
Sig. Danilo Caetani 
Dott. Adelmo Aporti
Ivan T
Sig. Giancarlo Desio 
Paoletta Crespi
Fabrizia Vismara
Eliana Foconi
Barbara Lanfranchi
Sig. Bartolomeo Longhena 
Dott. Marta Rossellini 
Patrizio Tomasini 
Sig.ra Rosalia Pace 
Ernesto Saracino
Dott. Sandra Soderini 
Ottavio Venier
Beppe Viviani-Boezio
Carmelo Babati
Livio Scaduto
Rocco Morricone
Dott. Giampiero Ferrara
Sig.ra Morena Dossi
Rosina Zeffirelli
Dott. Lara Sanguineti
Sig. Ernesto Balotelli 
Nedda Missoni
Sig. Fabio Iannuzzi 
Nicoletta Iannuzzi 
Romana Virgilio
Sig. Azeglio Filzi 
Gaetano Ferragamo
Flora Civaschi
Sig. Fabrizio Panicucci 
Ottone Vigliotti
Dott. Leonardo Albertini
Gemma Vitturi
Isabella Pepe
Eraldo Morellato
Virginia Pausini
Dott. Gianpietro Polani
Dott. Rosaria Donati 
Livia Castioni
Ludovica Onio
Sig.ra Lolita Farina 
Dott. Lina Tomaselli
Lilla Asprucci
Dott. Luigi Tropea
Etta Cicala
Eva Tommaseo
Ippazio Nadi 
Daria Sauro-Coardi
Sig. Torquato Renault
Giorgio Andreozzi
Paolo Vitturi-Tornatore
Barbara Abbagnale-Carpaccio
Adriano Salandra-Segrè
Benedetto Paltrinieri 
Gianluigi Querini
Ida Tanzini
Dott. Fortunata Ponti 
Rosaria Capuana
Fabrizio Turchi
Fernanda Detti
Federica Conte
Fredo Lopresti
Umberto Berlusconi 
Sig. Gianmarco Iannuzzi 
Dott. Cassandra Mondadori 
Tonino Abbagnale
Livia Pizzamano
Natalia Gentilini
Dott. Gioachino Martucci
Arnulfo Ferragni
Sante Conti-Bulzoni
Sig. Pietro Praga
Pierluigi Venditti
Viridiana Piccinni
Viridiana Iannotti
Dott. Sabatino Disdero
Ornella Contrafatto
Eugenia Pagnotto
Paride Polesel
Liliana Alonzi
Dott. Ermes Vergerio
Dott. Vincentio Villarosa
Tina Flaiano
Luciana Legnante-Maggioli
Giampiero Coppola-Mussolini
Dolores Benigni 
Filippa Stradivari
Imelda Crespi
Sig. Raffaello Rastelli
Dott. Biagio Sforza 
Sig.ra Cassandra Pisacane
Gaetano Bertoli 
Fiorino Amato 
Sig.ra Cassandra Volta 
Iolanda Nicoletti
Dott. Ignazio Stein 
Dott. Marcantonio Mimun
Domenico Luzi-Romiti
Annibale Sagnelli
Claudia Fantoni 
Virginia Pertile
Carla Chinnici-Mortati
Raffaello Dossetti-Polesel
Mariano Schicchi
Sig.ra Ornella Sauro
Dott. Massimo Cerquiglini 
Gianpaolo Sorrentino
Sig. Ricciotti Chechi 
Dina Ceravolo
Gianna Fuseli 
Edoardo Casale
Sig. Jacopo Ferrari 
Luigina Vergerio
Benvenuto Piane 
Sylvia Pastine
Annibale Niscoromni
Vanessa Salvemini-Cignaroli
Marcantonio Martucci
Nicoletta Vittadello
Emilio Nosiglia
Pietro Bulzoni-Cristoforetti
Ettore Basso
Luciana Malacarne
Dott. Tatiana Bosurgi 
Sig. Gianpietro Carosone 
Dott. Antonino Querini
Roberta Vergerio
Baldassare Luna
Marisa Correr
Bruno Endrizzi
Leopoldo Morricone-Scaduto
Allegra Bombieri
Lorenzo Curci 
Alessia Raurica
Gioele Antonelli 
Dott. Maurilio Ponti 
Patrizia Gemito-Solari
Federigo Belletini
Sandra Campise-Amaldi
Giancarlo Gilardoni
Angelina Venditti-Capecchi
Annibale Solimena
Liana Cutrufo 
Giampiero Marino 
Sig. Federigo Papetti 
Dott. Sandra Goldoni
Dott. Alphons Guglielmi 
Ennio Govoni
Ettore Blasi
Gioele Scandone-Bignami
Vanessa Pirelli-Beccheria
Osvaldo Saragat
Danilo Caracciolo
Antonietta Pontecorvo
Nicolò Dossi 
Leone Camanni
Bettina Ughi
Dott. Calogero Druso 
Sig.ra Aurora Gozzi 
Fedele Oscuro-Manacorda
Arnaldo Tomasetti-Cabrini
Gianpietro Bandello 
Agostino Morgagni-Regge
Sig.ra Rosaria Lupo
Sig. Michele Bevilacqua
Giuliano Goldstein
Stefania Gottardi
Lisa Celentano
Pierpaolo Crisafulli
Donatella Geraci-Bajardi
Sig. Giacobbe Govoni 
Dott. Fernanda Dulbecco
Sig. Alberto Procacci 
Adamo Schiavo 
Renzo Turchetta
Dott. Manuel Antonello 
Ignazio Capone
Dionigi Pergolesi 
Adelasia Sanguineti 
Silvestro Mantegazza 
Margherita Mazzanti
Benvenuto Moccia
Pierluigi Fogazzaro
Venancio Luzi
Alberico Pascarella
Gaspare Cherubini
Giustino Cortese
Flavio Abba
Daniele Lerner
Luca Loredan
Annetta Ponti
Dott. Ferdinando Riccati
Massimo Ludovisi
Tonia Asmundo-Bottigliero
Sophia Baglioni
Dott. Cipriano Sermonti 
Sig. Nico Cianciolo 
Silvio Villadicani
Sig.ra Allegra Navarria
Sig.ra Paulina Fagotto 
Gianpaolo Baracca-Malipiero
Iolanda Sgarbi
Gianfrancesco Bonanno 
Dott. Arnulfo Cortese
Adriano Gaggini
Dott. Isa T
Dott. Evangelista Ortolani
Dina Prati
Dott. Paulina Comeriato 
Dott. Giada Capecchi
Corrado Toso
Nicoletta Onisto
Rosaria Fattori
Sig. Marcantonio Omma
Irma Bellocchio-Padovano
Gioele Giannini 
Federico Colletti-Busoni
Michelangelo Bignardi
Piergiuseppe Torlonia
Lisa Roccabonella-Ajello
Tiziana Lombroso
Sig.ra Susanna Dovara
Donna Bocca
Sig. Matteo Trincavelli
Manuel Pasqua-Veneziano
Francesca Anguillara 
Sig. Niccolò Farinelli
Alfio Boezio
Anita Napolitano
Guido Giusti
Serafina Errigo
Donna Curci
Marta Marangoni
Dott. Lucrezia Barbarigo 
Sig. Gaspare Chittolini
Sig.ra Allegra Calgari
Enrico Cardano
Melissa Garibaldi
Nina Monte
Sig.ra Vanessa Mastandrea 
Pierpaolo Lattuada-Jilani
Leonardo Satta
Sig.ra Loretta Bruscantini 
Concetta Manolesso 
Dott. Ennio Bersani 
Sabatino Ottino
Sig. Cesare Gemito 
Laura Dellucci-Gibilisco
Pina Caffarelli
Lucrezia Oliboni
Gioacchino Ceri 
Griselda Asmundo
Daria Navone
Luciano Valmarana
Gaspare Moccia
Cristina Tebaldi
Dionigi Trentin
Giorgio Barbarigo
Coluccio Spallanzani
Viridiana Tagliafierro-Cantimori
Victoria Mastroianni 
Dott. Bianca Gregori
Eliana Farinelli 
Dott. Ermanno Bruscantini 
Manuel Vezzali
Giacinto Gilardoni
Bartolomeo Carfagna-Taliani
Edoardo Lerner
Eleanora Baggio 
Baldassare Gentileschi-Manzoni
Tonino Panzera 
Benedetto Tropea
Vincenzo Marsili-Caironi
Tatiana Bataglia
Amanda Leonardi 
Ferdinando Fibonacci
Adelasia Pacetti 
Licia Verdone
Aria Seddio
Roberta Pincherle
Ugo Marrone
Goffredo Bianchini 
Annetta Chiesa
Azeglio Caetani-Romiti
Dott. Antonino Mozart 
